"S.No.	Statement	Predicate",,
"58	If the mail arrives"," bring it in.	","FA(X) arrives?(mail,X) IMPL bring_in?(mail)"
"59	If the sky is dark"," take an umbrella.	","dark?(sky) IMPL take?(you,umbrella)"
"60	If we hurry"," we won't be late.	",hurry?(we) IMPL NOT late?(we)
"61	If you're sleepy"," go to bed.	",sleepy?(you) IMPL go_to_bed?(you)
"62	If you're thoughtful"," consider others.	","thoughtful?(you) IMPL consider?(you,others)"
"63	If the fish smells fresh"," buy it.	",fresh?(fish) IMPL buy?(it)
"64	If the grass is tall"," mow it.	",tall?(grass) IMPL mow?(grass)
"65	If you're organized"," make lists.	",organized?(you) IMPL make_lists?(you)
"66	If the snow melts"," watch for floods.	","FA(X) melts?(snow,X) IMPL watch?(floods"
"67	If you're scared"," hold my hand.	","scared?(you) IMPL hold?(you,my_hand)"
"68	If the car won't start"," call a mechanic.	","¬start?(car) IMPL call?(me,mechanic)"
"69	If you're motivated"," start now.	","motivated?(you) IMPL start?(you,now)"
"70	If the book ends"," start another.	",ends?(book) IMPL start?(another_book)
"71	If the sunset is beautiful"," take pictures.	",beautiful?(sunset) IMPL take_pictures?(me)
"72	If you're confident"," take the lead.	",confident?(you) IMPL take_lead?(you)
"73	If the storm comes"," stay inside.	",comes?(storm) IMPL stay_inside?(me)
"74	If the soup boils"," lower the heat.	",boils?(soup) IMPL lower?(heat)
"75	If you finish first"," help others.	","FA(X) first?(X, finish) IMPL help?(X, others)"
